Fecha Creacion,Local,Contacto,WhatsApp,Perfil,Zona,Segmento,Direccion,Resultado,Fecha Visita,Fecha Seguimiento,Productos Interes,Notas,Vendedor
2026-03-02,Cooperativa El Progreso,,,,mercado,Moreno Centro,volumen,Av. Victorica,pendiente,,,,Mercado regional. Consultar en administracion. Falta contacto.,cbd.preparados@gmail.com
2026-03-02,Ferias Minoristas de Moreno,,,,feria,Moreno,volumen,Playon Municipal / Estacion,pendiente,,,,Puestos fijos. Contacto directo con puesteros.,cbd.preparados@gmail.com
2026-03-02,Supermercados Chinos (Red Local),,,,revendedor,Francisco Alvarez / La Reja,volumen,,pendiente,,,,Cadena local. Visita directa al encargado de frescos.,cbd.preparados@gmail.com
2026-03-02,Mercado Concentrador Jose C. Paz,,,,mercado,Jose C. Paz,volumen,Av. Hipolito Yrigoyen (Ruta 197),pendiente,,,,Mayorista. Rotacion masiva. Cercano a Cuartel V.,cbd.preparados@gmail.com
2026-03-02,Mercado San Miguel,,,,mercado,San Miguel,volumen,Av. Dr. Ricardo Balbin,pendiente,,,,Mayorista/Minorista.,cbd.preparados@gmail.com
2026-03-02,Mercado Regional de Lujan,,,,mercado,Lujan,volumen,Acceso Oeste Km 66,pendiente,,,,Gran afluencia de verduleros de zona.,cbd.preparados@gmail.com
2026-03-02,Mercado de Tres de Febrero,,,,mercado,Caseros,volumen,Av. Marcelo T. de Alvear,pendiente,,,,Volumen masivo GBA.,cbd.preparados@gmail.com
2026-03-02,Nodos de Consumo Responsable,,,,comunidad,San Miguel / Moreno,volumen,,pendiente,,,,Compras comunitarias. Buscan precio/calidad.,cbd.preparados@gmail.com
2026-03-02,Carrefour (Corporativo),,11-2174-5328,supermercado,Martinez,corporativo,Cuyo 3367 Martinez,pendiente,,,,Email: cristian_genta@carrefour.com.ar. Portal de Proveedores Online. Proceso largo.,cbd.preparados@gmail.com
2026-03-02,Cencosud (Jumbo/Disco/Vea),,+54 11 4733-1000,supermercado,Martinez,corporativo,Parana 3745 Martinez,pendiente,,,,Portal Nuevos Negocios. Proceso largo.,cbd.preparados@gmail.com
2026-03-02,ChangoMas,,0810-444-9256,supermercado,,corporativo,,pendiente,,,,Programa de Productores Locales activo. WhatsApp ToMas: 11-2722-8644.,cbd.preparados@gmail.com
2026-03-02,Coto,,0800-888-4848,supermercado,,corporativo,,pendiente,,,,Email: info@coto.com.ar. Proceso largo.,cbd.preparados@gmail.com
